Col1	Col2	Col3	Col4
190	14	21	3
196	23	31	5
235	23	19	1
184	27	19	1
199	17	17	1
189	19	28	4
186	17	22	3
194	22	23	6
186	20	16	2
196	21	27	1
210	23	20	5
197	20	18	1
181	16	21	4
177	11	19	5
182	23	15	2
193	21	21	1
182	21	22	3
182	13	27	3
184	15	22	2
186	17	29	2
185	24	21	3
174	27	18	3
185	13	29	2
192	14	21	1
176	29	18	2
213	25	25	8
192	12	17	3
180	13	29	4
186	9	25	3
193	15	36	4
214	22	23	1
189	17	20	1
212	18	18	1
196	20	21	2
206	14	20	2
188	21	16	4
207	20	33	1
191	22	23	2
202	30	29	3
183	14	23	3
178	19	15	1
194	16	33	2
194	18	19	0
173	15	23	1
190	13	30	3
182	22	30	3
194	26	28	2
187	23	28	3
204	19	17	4
210	24	20	5
193	19	23	4
219	23	15	3
193	22	20	4
205	22	20	1
170	16	25	4
182	20	20	1
186	12	22	3
189	21	23	1
186	12	17	2
215	19	19	0
191	27	29	1
199	25	20	2
181	19	25	4
186	24	21	4
193	21	28	0
192	21	20	7
194	21	19	3
183	23	16	2
182	20	22	2
174	19	20	1
197	21	30	1
187	22	22	5
173	16	26	1
210	20	32	4
196	20	24	2
194	19	18	2
224	22	19	2
185	18	24	0
196	12	18	0
218	14	30	4
189	17	20	5
193	16	25	2
203	16	25	4
195	17	23	1
210	18	19	4
182	18	23	2
195	27	13	2
223	20	22	3
173	17	15	2
237	22	23	1
183	18	20	1
178	19	13	2
201	19	25	5
167	14	22	1
169	24	27	2
209	10	25	2
209	18	29	0
173	19	23	1
200	23	31	4
206	15	23	1
